Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2017-05-10,152.58180236816406,153.24074044621446,151.96737685081337,153.18731450339664,2554500
2017-05-11,152.50160217285156,152.75984559900465,151.4686692306447,152.07418117650843,2106000
2017-05-12,152.16323852539062,153.0269939262463,151.66457841509643,152.52832022848312,1586800
2017-05-15,152.7776641845703,153.1427458884119,151.64676555445982,151.64676555445982,1733600
2017-05-16,152.2700958251953,153.12495146445488,151.94062686642926,153.12495146445488,1129200
2017-05-17,150.62274169921875,152.7153481141976,150.54260279502066,151.96735783340685,2201400
2017-05-18,152.02078247070312,152.287925736552,151.10360100834973,151.45088317771197,1589700
2017-05-19,152.8400115966797,153.5434757276701,152.10092111698515,152.58178171219407,1871800
2017-05-22,153.51675415039062,154.26475796904728,152.83110323220473,153.37428952597662,1594100
2017-05-23,153.57908630371094,154.5318804278939,153.44552147846503,154.02432050448994,1788000
2017-05-24,154.0599365234375,154.166801973366,152.98247734372595,154.00651059220814,1420800
2017-05-25,155.5915069580078,155.87646330797782,154.3181439361792,154.4695219018008,2726900
2017-05-26,158.37872314453125,160.5870811529854,158.0759671247171,160.50694225141174,4471300
2017-05-30,159.3225555419922,159.74107664838954,158.05809243302383,158.21837017378948,2086300
2017-05-31,160.66720581054688,160.70283215529042,159.19793839540617,159.60755983514065,2456200
2017-06-01,160.8452606201172,161.2637817228809,160.15959636426481,161.00553835949128,2028300
2017-06-02,161.1480712890625,161.39740136002797,160.16855059064818,160.80078914825557,2239900
2017-06-05,162.136474609375,162.25223983987397,160.81858528991657,161.26381945341305,1561100
2017-06-06,161.57545471191406,162.70635314817847,161.18364652376155,161.79807176541283,2248900
